m1,m2,m3,resp_special
O1,C2,C1,ACET
O1,C1,C2,PROA
H11,N1,C,GUAN
H11,N1,C,MGUA
N,CA,C,GLYN
HE3,CE,NZ,MAMM
H11,C1,CE,EAMM
O2,C1,C2,ACEH
HG1,OG,CB,MEOH
HB2,OG,CB,METO
O1,C1,C2,ETOH
CB,CA,HA1,ETO
C1,C2,C3,PRO2
O,C,N,FORM
HC1,CC,C,ACEM
HC1,CC,C,PRAM
O,C,N,NMA
CLP,NL,CA,AANM
H1,CM,S,MESH
BLNK,H11,C1,MES1
H1,CM1,CM2,ETSH
BLNK,H11,C1,ES1
H1,CM1,S2,DMDS
CM0,CM1,S2,DEDS
H1,CM1,CM2,EMS
HG,CG,ND1,IMIA
CB,CG,ND1,MIMI
CB,CG,ND1,EIMI
HG,CG,ND1,IMIM
CA,CB,CG,EIMM
CG,CD1,CE1,BENZ
CG,CD1,CE1,EBEN
CG,CD1,CE1,PHEN
CG,CD1,CE1,EPHE
CG,CD1,CE1,PHEO
OY,CY,N,APNH
CAY,CY,N,PDIP
N,CA,C,PNH2
H11,C1,C2,ETHA
C1,C2,C3,PRPA
C1,C2,C3,BUTA
C2,CT,C1,IBUT
H11,C1,C2,PENT
H11,C1,C2,OCOH
C1,C2,C3,C3
O,C,CB,AALD
O,C,CB,PALD
O,C,CB,CALD
O,C,CG,BALD
H13,C1,C2,FETH
H13,C1,C2,DFET
H13,C1,C2,TFET
HO1,O1,C1,TFE
N1,C2,C3,PYR1
CG,CD1,CE1,4AP2
CG,CD1,CE1,3APY
CG,CD1,CE1,34AP
CG,CD1,CE1,3CPY
CG,CD1,CE1,3CB
CG,CD1,CE1,3FLP
CG,CD1,CE1,3ALP
CG,CD1,CE1,3HOP
CG,CD1,CE1,3MEP
CG,CD1,CE1,3ETP
CG,CD1,CE1,3BPY
CG,CD1,CE1,3CYP
CG,CD1,CE1,3ACP
CG,CD1,CE1,3NAP
CG,CD1,CE1,3CAP
CG,CD1,CE1,3PHP
CG,CD1,CE1,3BNP
C1,C2,C3,CLOL
O1,C1,C2,CLNS
C1,C2,C3,CLM1
C1,C,OM,MAS
C1,C,OM,ETAC
C1,C,OM,MPRO
OS4,S,OS2,MSO4
C1,C2,C3,HEXA
H11,C1,C2,ETHE
H11,C1,C2,PRPE
C1,C2,C3,BTE1
C1,C2,C3,BTE2
H11,C1,C2,DIPE
H11,C1,C2,DIHE
C1,C2,C3,HXE2
C2,N,C1,NC4
C4,N,C1,NC5
C4,N,C1,CHOL
C4,N,C1,ACHO
C4,N,C1,PC
O2,CG1,CG2,GPC
C4,N,C1,TEA
N,C1,C5,ETAM
C1,C2,C3,GLYC
CP1,OP1,P1,AAPM
C1,C2,C3,MBUT
C1,C2,C3,DFT
C1,C2,C3,DFB
